[ 2026-06-02 23:49:03,485 ] 21 root - INFO - Initiate the data ingestion
[ 2026-06-02 23:49:07,680 ] 67 root - INFO - Performed train test split on the dataframe
[ 2026-06-02 23:49:07,680 ] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-02 23:49:07,681 ] 77 root - INFO - Exporting train and test file path.
[ 2026-06-02 23:49:07,788 ] 86 root - INFO - Exported train and test file path.
[ 2026-06-02 23:49:07,789 ] 23 root - INFO - Data Initiation Completed
[ 2026-06-02 23:49:07,805 ] 27 root - INFO - Initiate the data Validation
[ 2026-06-02 23:49:07,885 ] 32 root - INFO - Required number of columns:2
[ 2026-06-02 23:49:07,885 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-02 23:49:07,885 ] 32 root - INFO - Required number of columns:2
[ 2026-06-02 23:49:07,885 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-02 23:49:08,134 ] 29 root - INFO - data Validation Completed
