[ 2026-06-03 21:35:09,847 ] 22 root - INFO - Initiate the data ingestion
[ 2026-06-03 21:35:15,615 ] 67 root - INFO - Performed train test split on the dataframe
[ 2026-06-03 21:35:15,615 ] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-03 21:35:15,617 ] 77 root - INFO - Exporting train and test file path.
[ 2026-06-03 21:35:15,724 ] 86 root - INFO - Exported train and test file path.
[ 2026-06-03 21:35:15,726 ] 24 root - INFO - Data Initiation Completed
[ 2026-06-03 21:35:15,760 ] 28 root - INFO - Initiate the data Validation
[ 2026-06-03 21:35:15,827 ] 32 root - INFO - Required number of columns:2
[ 2026-06-03 21:35:15,827 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-03 21:35:15,828 ] 32 root - INFO - Required number of columns:2
[ 2026-06-03 21:35:15,828 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-03 21:35:16,341 ] 30 root - INFO - data Validation Completed
[ 2026-06-03 21:35:16,341 ] 33 root - INFO - data Transformation started
[ 2026-06-03 21:35:16,341 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-03 21:35:16,341 ] 65 root - INFO - Starting data transformation
[ 2026-06-03 21:35:16,423 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-06-03 21:35:16,423 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-03 21:35:16,455 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-03 21:35:16,460 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-03 21:35:16,460 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-03 21:35:16,465 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-03 21:35:16,467 ] 37 root - INFO - data Transformation completed
